"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight.Kg.","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species","year","month","c2","c3","c4","c5","c6","c7"
"ness of copister",2000402,"meridian salmon farms ltd","s","19-Jan-14",NA,"19-Jan-14",NA,"atlantic salmon","grower fish (salmon only)",10,1.96,"20-Jan-14","unknown","weather - wth","17-Feb-14",0,0,"mooring failure","fs1043","9-Jul-02","hu504791","shetland","yes","yell shorebase","mid yell","shetland","ze2 9bn","01957 722383","fish","seawater","low",450400,1179100,"2c - ne shetland mainland","shetland","cooke aquaculture scotland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"ness of copister",2000482,"cooke aquaculture scotland ltd","s","16-Dec-18",NA,"17-Dec-18","hu504791","atlantic salmon","broodfish",21,7.6,"17-Dec-18","none","hole in net - hol","15-Jan-19",0,0,"weather","fs1043","9-Jul-02","hu504791","shetland","yes","yell shorebase","mid yell","shetland","ze2 9bn","01957 722383","fish","seawater","low",450400,1179100,"2c - ne shetland mainland","shetland","cooke aquaculture scotland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"new farm",2000358,"selcoth fisheries ltd","f","1-Apr-00",NA,NA,NA,"rainbow trout","fish weighing more than 5 grams",14.636690647482,0.1,NA,"3500","human error - hum",NA,3500,0,"human error","fs0680","19-Aug-91","nt132070","dumfries and galloway","yes","selcoth","moffat","dumfriesshire","dg10 9lg","01683 220509","fish","freshwater","medium",313200,607000,"not in a management area","dumfries & galloway","selcoth fisheries ltd","rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"north of hoy",2000347,"hydro seafoods gsp","s","1-Apr-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,0.06,NA,"1000","human error - hum",NA,1000,0,"human error","fs0481","1-Jan-88","hu374454","shetland","no","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","high",437400,1145400,"3a - sw shetland mainland","shetland","scottish sea farms ltd","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"north papa",2000384,"cro lax ltd.","s","1-Apr-99",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,0.1,NA,"3000","unknown - unk",NA,6000,0,"unknown","fs0515","1-Jan-89","hu365383","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium",436500,1138300,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"north shore",2000503,"mowi scotland ltd","s","12-Dec-19","11:00","12-Dec-19",NA,"atlantic salmon","grower fish (salmon only)",13,3.5,"20-Dec-19","0","weather - wth","13-Jan-20",0,0,"weather","fs1033","1-Feb-02","nb392228","western isles","yes","keose pier","keose","isle of lewis","hs2 9jt","01851 830380","fish","seawater","medium",139200,922800,"5a - e lewis","western isles","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"north shore",2000460,"marine harvest (scotland) ltd","s","10-Oct-17","13:00","10-Oct-17","nb392228","atlantic salmon","grower fish (salmon only)",12,3.5,"13-Oct-17","none","predator - prd","16-Oct-17",0,0,"predator","fs1033","1-Feb-02","nb392228","western isles","yes","keose pier","keose","isle of lewis","hs2 9jt","01851 830380","fish","seawater","medium",139200,922800,"5a - e lewis","western isles","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"north voe",2000405,"hjaltland seafarms ltd","s","11-Feb-14",NA,"13-Feb-14","hu539631","atlantic salmon","grower fish (salmon only)",14.636690647482,5.77,"13-Feb-14","25,000","hole in net - hol","5-Mar-14",0,0,"hole in net","fs0946","16-Mar-99","hu539631","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","low",453900,1163100,"2a - vidlin voe, dury voe, w whalsay","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ore bay",2000389,"mainland salmon ltd","s","30-Sep-99",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,2.5,NA,"6900","predator - prd",NA,6900,0,"predator","fs0366","20-Jul-87","nd316942","orkney","no","n/a",NA,NA,NA,NA,"fish","seawater",NA,331600,994200,NA,"orkney","cooke aquaculture scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ormsary broodstock unit",2000033,"landcatch ltd","b","7-Apr-06","12:00",NA,"nr735722","atlantic salmon","grower fish (salmon only)",12,0.1,"7-Apr-06","500","screen failure - scr","2-Jun-06",490,0,"screen failure","fs0090","28-Oct-85","nr735722","argyll and bute","yes","ormsary","lochgilphead","argyll","pa31 8pe","01880 770720","fish","freshwater and seawater","medium",173500,672200,"18a - loch caolisport","strathclyde","landcatch natural selection ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ormsary smolt unit",2000032,"landcatch natural selection ltd","f","8-Apr-06","10:00",NA,"nr735722","atlantic salmon","grower fish (salmon only)",12,0.1,"10-Apr-06","11,000","transfer pipe failure - trp","2-Jun-06",4193,0,"transfer pipe failure","fs0575","1-Jan-95","nr735722","argyll and bute","yes","ormsary","lochgilphead","argyll","pa31 8pe","01880 770720","fish","freshwater","medium",173500,672200,"not in a management area","strathclyde","landcatch natural selection ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ormsary smolt unit",2000306,"landcatch natural selection ltd","f","9-Nov-12","10:00","9-Nov-12","nr735722","atlantic salmon","salmon fresh water stages",7,3.05018021201413,"12-Nov-12","6,000","transfer pipe failure - trp","29-Nov-12",0,6578,"transfer pipe failure","fs0575","1-Jan-95","nr735722","argyll and bute","yes","ormsary","lochgilphead","argyll","pa31 8pe","01880 770720","fish","freshwater","medium",173500,672200,"not in a management area","strathclyde","landcatch natural selection ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"outer bay (loch droighniche)",2000335,"ardvar salmon ltd.","s","18-Jan-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,1.6,NA,"11237","weather - wth",NA,11237,0,"weather","fs0671","16-Sep-91","nc164344","highland","yes","badcall salmon house","scourie, lairg","sutherland","iv27 4th","01971 502451","fish","seawater","low",216400,934400,"9c - badcall, chairn bhain, eddrachillis","highland","loch duart ltd","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"papa",2000397,"hjaltland seafarms ltd","s","23-Sep-13",NA,"25-Sep-13","hu374378","atlantic salmon","grower fish (salmon only)",17,3.3,"26-Sep-13","0","hole in net - hol","7-Oct-13",0,0,"hole in net","fs0447","5-Sep-91","hu372376","shetland","no","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",437200,1137600,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"plocrapol",2000527,"the scottish salmon company","s","4-Dec-20",NA,"4-Dec-20","ng184943","atlantic salmon","grower fish (salmon only)",13,2.6,"4-Dec-20","tbc","hole in net - hol",NA,0,0,NA,"fs1256","6-Oct-11","ng184943","western isles","yes","meavag pier","isle of harris","western isles","n/a","01546 602172","fish","seawater","medium",118400,894300,"5b - se lewis, e harris","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"poll na gille",2000451,"marine harvest (scotland) ltd","s","2-Mar-17","10:00","2-Mar-17","nm774078","lumpsucker","fish weighing more than 5 grams",8,18,"2-Mar-17","estimated <300","human error - hum","5-Apr-17",283,0,"human error","fs0629","7-Jul-99","nm776081","argyll and bute","yes","craobh haven","loch melfort","argyll","pa31 8ua","01397 715032","fish","seawater","medium",177600,708100,"16d - seil sound to loch craignish","strathclyde","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"poll na gille",2000454,"marine harvest (scotland) ltd","s","19-Jun-17","08:15","19-Jun-17","nm774078","atlantic salmon","grower fish (salmon only)",14.636690647482,2,"19-Jun-17","0","human error - hum","18-Jul-17",0,0,"human error","fs0629","7-Jul-99","nm776081","argyll and bute","yes","craobh haven","loch melfort","argyll","pa31 8ua","01397 715032","fish","seawater","medium",177600,708100,"16d - seil sound to loch craignish","strathclyde","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"portree",2000039,"pan fish scotland ltd","s","17-Apr-06","14:00",NA,"ng500442","atlantic salmon","grower fish (salmon only)",13,2.2,"18-Apr-06","unknown","no actual escape of fish - nes","15-May-06",0,0,"no actual escape of fish","fs0708","16-Oct-91","ng505441","highland","yes","8a lisgarry place","portree","isle of skye","iv51 9bd","01546 602172","fish","seawater","high",150500,844100,"11b - sound of raasay, ainort, scalpay","highland","the scottish salmon company","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"puldrite",2000279,"scottish sea farms ltd","s","21-Feb-11",NA,"21-Feb-11","hy423183","atlantic salmon","grower fish (salmon only)",22,5.5,"23-Feb-11","0","no actual escape of fish - nes","8-Mar-11",0,0,"no actual escape of fish","fs0813","15-Jan-99","hy425185","orkney","yes","orkney regional office","scapa","orkney","kw15 1sd","01856 898033","fish","seawater","medium",342500,1018500,"8b - central orkney","orkney","scottish sea farms ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"puldrite",2000354,"orkney sea farms ltd","s","30-Mar-02",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,1,NA,"20000","equipment damage - eqd",NA,20000,0,"equipment damage","fs0813","15-Jan-99","hy425185","orkney","yes","orkney regional office","scapa","orkney","kw15 1sd","01856 898033","fish","seawater","medium",342500,1018500,"8b - central orkney","orkney","scottish sea farms ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"puldrite",2000329,"orkney sea farms ltd","s","15-Nov-01",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,0.045,NA,"4500","human error - hum",NA,4500,0,"human error","fs0813","15-Jan-99","hy425185","orkney","yes","orkney regional office","scapa","orkney","kw15 1sd","01856 898033","fish","seawater","medium",342500,1018500,"8b - central orkney","orkney","scottish sea farms ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"quanterness",2000386,"aquascot sea farms ltd.","s","1-Aug-99",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,0.155,NA,"50 000","predator - prd",NA,0,0,"predator","fs0908","20-Oct-97","hy432140","orkney","yes","crowness point","hatston","kirkwall, orkney","kw15 1gp","01856 876101","fish","seawater","medium",343200,1014000,"8b - central orkney","orkney","cooke aquaculture scotland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"quanterness",2000338,"aquascot sea farms ltd","s","29-Jan-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,1,NA,"62000","weather - wth",NA,62000,0,"weather","fs0908","20-Oct-97","hy432140","orkney","yes","crowness point","hatston","kirkwall, orkney","kw15 1gp","01856 876101","fish","seawater","medium",343200,1014000,"8b - central orkney","orkney","cooke aquaculture scotland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"quarry point",2000412,"the scottish salmon company","s","2-Nov-14","14:30","2-Nov-14","nr998980","atlantic salmon","grower fish (salmon only)",12,3.05018021201413,"3-Nov-14","4,000","hole in net - hol","5-Nov-14",2090,0,"hole in net","fs0698","7-Aug-91","nr998980","argyll and bute","yes","crarae","furnace","argyll","pa32 8ya","01546 602172","fish","seawater","medium",199800,698000,"19a - fyne","strathclyde","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"reibinish",2000448,"the scottish salmon company","s","26-Nov-16","15:00","26-Nov-16","ng189927","atlantic salmon","grower fish (salmon only)",14,3.05018021201413,"28-Nov-16","unknown","hole in net - hol","8-Dec-16",0,0,"no actual escape of fish","fs1277","12-Sep-13","ng189927","western isles","yes","meavag pier","isle of harris","western isles","n/a","01546 602172","fish","seawater","medium",118900,892700,"5b - se lewis, e harris","western isles","the scottish salmon company","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"reibinish",2000488,"the scottish salmon company","s","24-Apr-19",NA,"24-Apr-19","ng189927","atlantic salmon","grower fish (salmon only)",27,3.8,"25-Apr-19","0","hole in net - hol","14-Jun-19",0,0,"hole in net","fs1277","12-Sep-13","ng189927","western isles","yes","meavag pier","isle of harris","western isles","n/a","01546 602172","fish","seawater","medium",118900,892700,"5b - se lewis, e harris","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"roe sound",2000363,"grieg seafood shetland ltd","s","1-Jun-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,3,NA,"6000","equipment wear and tear - eqw",NA,6000,0,"equipment wear and tear","fs0389","1-Sep-87","hu333663","shetland","no","n/a",NA,NA,NA,NA,"fish","seawater","not applicable",433300,1166300,NA,"shetland","grieg seafood shetland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"rothiemurchus ponds",2000223,"dawnfresh farming ltd","f","20-Apr-09",NA,"20-Apr-09","nh897117","rainbow trout","fish weighing more than 5 grams",12,0.15,"7-May-09","2500","screen failure - scr","18-Jun-09",2500,0,"screen failure","fs0007","1-Apr-92","nh899116","highland","no","rothiemurchus estate","aviemore","inverness-shire","ph22 1qh","01479 812345","fish","freshwater","medium",289900,811600,"not in a management area","highland","rothiemurchus estate","brown trout and sea trout, rainbow trout",NA,NA,NA,NA,NA,NA,NA,NA
"rubha stillaig",2000147,"pan fish scotland ltd","s","20-Feb-07","07:00","20-Feb-07","nr925682","atlantic salmon","grower fish (salmon only)",11,2.4,"20-Feb-07","not known","no actual escape of fish - nes","21-Mar-07",0,0,"no actual escape of fish","fs0894","2-Apr-97","nr925682","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",192500,668200,"19a - fyne","strathclyde","the scottish salmon company","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"rubha stillaig",2000154,"pan fish scotland ltd","s","19-Mar-07",NA,"19-Mar-07","nr925682","atlantic salmon","grower fish (salmon only)",12,2.5,"21-Mar-07","not known","no actual escape of fish - nes","19-Apr-07",0,0,"no actual escape of fish","fs0894","2-Apr-97","nr925682","argyll and bute","yes","portavadie fish farm","millhouse tighnabruaich","argyll","pa21 2da","01546 602172","fish","seawater","medium",192500,668200,"19a - fyne","strathclyde","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"scadabay",2000441,"the scottish salmon company","s","21-May-16",NA,"21-May-16","ng164917","atlantic salmon","grower fish (salmon only)",9,3.05018021201413,"6-Jun-16","300000","weather - wth","16-Nov-17",0,0,"no actual escape of fish","fs1293","26-Nov-14","ng164917","western isles","yes","ashville","main street","tarbert isle of harris","hs3 3dj","01546 602172","fish","seawater","medium",116400,891700,"5b - se lewis, e harris","western isles","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"scadabay",2000506,"the scottish salmon company","s","17-Jan-20","12:00","17-Jan-20",NA,"atlantic salmon","grower fish (salmon only)",3,3.05018021201413,"20-Jan-20","0","predator - prd","24-Feb-20",0,0,"predator","fs1293","26-Nov-14","ng164917","western isles","yes","ashville","main street","tarbert isle of harris","hs3 3dj","01546 602172","fish","seawater","medium",116400,891700,"5b - se lewis, e harris","western isles","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"scallastle",2000001,"marine harvest (scotland) ltd","s","25-Jun-06","13:15",NA,"nm690395","atlantic salmon","grower fish (salmon only)",12,3.5,"27-Jun-06","unknown","no actual escape of fish - nes","24-Jul-06",0,0,"no actual escape of fish","fs0209","1-Dec-88","nm684396","argyll and bute","yes","scallastle bay","garmony","isle of mull","pa65 6ay","07799 608411","fish","seawater","medium",168400,739600,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"scallastle",2000081,"marine harvest (scotland) ltd","s","1-Sep-04",NA,NA,"nm690395","atlantic salmon","grower fish (salmon only)",18,4,"9-Sep-04","unknown","equipment damage - eqd","15-Sep-04",320,0,"equipment damage","fs0209","1-Dec-88","nm684396","argyll and bute","yes","scallastle bay","garmony","isle of mull","pa65 6ay","07799 608411","fish","seawater","medium",168400,739600,"15b - linnhe, firth of lorne, sound of mull and loch sunart","strathclyde","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"sconser",2000523,"mowi scotland ltd","s","12-Aug-20","08:00",NA,"ng53435 34","atlantic salmon","grower fish (salmon only)",4,3.05018021201413,"28-Oct-20","0","predator - prd","30-Oct-20",0,0,"predator","fs0602","11-Nov-90","ng533343","highland","yes","sconser","loch sligachan","isle of skye","iv48 8td","01478 650439","fish","seawater","high",153300,834300,"11b - sound of raasay, ainort, scalpay","highland","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"sconser",2000055,"marine harvest (scotland) ltd","s","9-Oct-05",NA,NA,"ng533343","atlantic salmon","grower fish (salmon only)",8,3.05018021201413,"10-Oct-05","300-500","weather - wth","8-Nov-05",7000,50,"weather","fs0602","11-Nov-90","ng533343","highland","yes","sconser","loch sligachan","isle of skye","iv48 8td","01478 650439","fish","seawater","high",153300,834300,"11b - sound of raasay, ainort, scalpay","highland","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"score holms",2000391,"cro lax ltd.","s","15-Nov-99",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,1,NA,"10 000","weather - wth",NA,0,0,"weather","fs0948","20-Apr-99","hu355436","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",435500,1143600,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"score holms",2000112,"cro lax ltd.","s","24-Dec-02","unknown",NA,"hu353434","atlantic salmon","grower fish (salmon only)",9,1.6,"8-Jan-03","unknown","weather - wth","7-Feb-03",0,0,"weather","fs0948","20-Apr-99","hu355436","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",435500,1143600,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"score holms",2000466,"grieg seafood shetland ltd","s","17-Jan-18","23:00","17-Jan-18","hu355436","atlantic salmon","grower fish (salmon only)",14,3.05018021201413,"18-Jan-18","~500","human error - hum","12-Feb-18",500,0,"human error","fs0948","20-Apr-99","hu355436","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",435500,1143600,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"scotasay",2000153,"marine harvest (scotland) ltd","s","21-Mar-07","12:00","21-Mar-07","ng186978","atlantic salmon","grower fish (salmon only)",11,1.44,"22-Mar-07","not known","hole in net - hol","23-Apr-07",0,0,"hole in net","fs0502","25-May-93","ng190979","western isles","yes","cuddy point","scalpay","isle of harris","hs4 3yd","01859 540443","fish","seawater","high",119000,897900,"5b - se lewis, e harris","western isles","mowi scotland ltd","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"scotasay",2000468,"marine harvest (scotland) ltd","s","4-Feb-18","12:00","4-Feb-18","ng190979","atlantic salmon","grower fish (salmon only)",14.636690647482,1.1,"5-Feb-18","12","chafe/ snag - cha","5-Mar-18",12,0,"chafe/ snag","fs0502","25-May-93","ng190979","western isles","yes","cuddy point","scalpay","isle of harris","hs4 3yd","01859 540443","fish","seawater","high",119000,897900,"5b - se lewis, e harris","western isles","mowi scotland ltd","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"seaforth",2000138,"marine harvest (scotland) ltd","s","28-Dec-06","12:00",NA,"nb231026","atlantic salmon","grower fish (salmon only)",20,3.05018021201413,"8-Jan-07","14,000","hole in net - hol","17-Jan-07",0,0,"hole in net","fs1042","13-Jun-02","nb231032","western isles","yes","the old ruin","maaruig","isle of harris","hs3 3ag","01859 502789","fish","seawater","low",123100,903200,"5b - se lewis, e harris","western isles","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"setter voe",2000217,"skelda salmon farms ltd","s","7-Jan-09",NA,"7-Jan-09","hu 373360","atlantic salmon","grower fish (salmon only)",12,1.25,"12-Jan-09","0","no actual escape of fish - nes","12-Jan-09",0,0,"no actual escape of fish","fs0316","1-Jan-88","hu377360","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 880084","fish","seawater","medium",437700,1136000,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"setterness north (bomlo)",2000470,"grieg seafood shetland ltd","s","12-Mar-18","08:00","12-Mar-18","hu481721","atlantic salmon","grower fish (salmon only)",26,2,"12-Mar-18","0","predator - prd","6-Apr-18",0,0,"predator","fs1076","12-Mar-04","hu479714","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium",447900,1171400,"2c - ne shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"setterness north (bomlo)",2000464,"grieg seafood shetland ltd","s","1-Dec-17","800","1-Dec-17","hu481721","atlantic salmon","grower fish (salmon only)",12,2,"1-Dec-17","0","predator - prd","20-Dec-17",0,0,"hole in net","fs1076","12-Mar-04","hu479714","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","medium",447900,1171400,"2c - ne shetland mainland","shetland","grieg seafood shetland ltd","lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"sgeir dughall",2000416,"the scottish salmon company","s","9-Jan-15",NA,"10-Jan-15",NA,"atlantic salmon","grower fish (salmon only)",11,2.2,"12-Jan-15","unknown","weather - wth","26-Jan-15",0,0,"no actual escape of fish","fs1262","4-May-12","ng770610","highland","yes","kenmore","ross-shire","n/a","iv54 8xh","01546 602172","fish","seawater","medium",177000,861000,"11a - torridon","highland","the scottish salmon company","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"shapinsay",2000340,"orkney sea farms ltd","s","29-Jan-00",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,0.1,NA,"258000","weather - wth",NA,258000,0,"weather","fs0860","1-Oct-95","hy501213","orkney","yes","orkney regional office","scapa","orkney","kw15 1sd","01856 898033","fish","seawater","medium",350100,1021300,"8b - central orkney","orkney","scottish sea farms ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"south sound",2000293,"scottish sea farms ltd","s","25-Dec-11",NA,"26-Dec-11","hu321696","atlantic salmon","grower fish (salmon only)",21,2.48,"28-Dec-11","36,000","weather - wth","1-Feb-12",0,0,"weather","fs0183","30-Sep-91","hu322698","shetland","yes","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","medium",432200,1169800,"4c - n st magnus bay","shetland","scottish sea farms ltd","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"south sound",2000254,"scottish sea farms ltd","s","27-Oct-09",NA,"24-Nov-09",NA,"atlantic salmon","grower fish (salmon only)",19,4,"4-Nov-09","0","no actual escape of fish - nes","4-Nov-09",0,0,"no actual escape of fish","fs0183","30-Sep-91","hu322698","shetland","yes","c/o blackness pier","scalloway","shetland","ze1 0tq","01595 881002","fish","seawater","medium",432200,1169800,"4c - n st magnus bay","shetland","scottish sea farms ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"spoose holm",2000191,"skelda salmon","s","12-Feb-08","8.3","4-Mar-08","hu353382","atlantic salmon","grower fish (salmon only)",20,4,"4-Mar-08","0","no actual escape of fish - nes","4-Mar-08",0,0,"no actual escape of fish","fs0785","1-Jan-96","hu353382","shetland","yes","gremista","lerwick","shetland","ze1 0px","01595 741817","fish","seawater","high",435300,1138200,"3a - sw shetland mainland","shetland","grieg seafood shetland ltd","atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"stattic point",2000095,"marine harvest (scotland) ltd","s","15-Dec-03","unknown",NA,"ng978960","atlantic salmon","grower fish (salmon only)",3,0.106,"17-Dec-03","unknown","no actual escape of fish - nes","3-Oct-04",0,0,"no actual escape of fish","fs0422","1-Jan-90","ng978960","highland","no","n/a",NA,NA,NA,NA,"fish","seawater",NA,197800,896000,NA,"highland","mowi scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"stattic point",2000086,"marine harvest (scotland) ltd","s","13-Sep-04","09:30",NA,"ng978960","atlantic salmon","grower fish (salmon only)",7,1,"14-Sep-04","0","no actual escape of fish - nes","14-Sep-04",0,0,"no actual escape of fish","fs0422","1-Jan-90","ng978960","highland","no","n/a",NA,NA,NA,NA,"fish","seawater",NA,197800,896000,NA,"highland","mowi scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"strome",2000074,"pan fish scotland ltd.","s","11-Jan-05",NA,"12-Jan-05","ng876365","atlantic salmon","grower fish (salmon only)",2,3.05018021201413,"13-Jan-05","80,000","weather - wth","24-Jan-05",0,0,"weather","fs0570","17-Oct-85","ng876365","highland","yes","dunosdale","lochcarron","ross-shire","iv54 8yh","01546 602172","fish","seawater","medium",187600,836500,"14a - carron, kishorn, alsh, duich","highland","the scottish salmon company","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"strome",2000073,"pan fish scotland ltd.","s","7-Jan-05",NA,NA,"ng876365","atlantic salmon","grower fish (salmon only)",2,3.05018021201413,"7-Jan-05","40,000","weather - wth","24-Jan-05",0,0,"weather","fs0570","17-Oct-85","ng876365","highland","yes","dunosdale","lochcarron","ross-shire","iv54 8yh","01546 602172","fish","seawater","medium",187600,836500,"14a - carron, kishorn, alsh, duich","highland","the scottish salmon company","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
