"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escape.End.Time","Escape.Grid.Reference","Escaped.Species","Stage","Age","Average.Weight.Kg.","Initial.Date.of.Escape","Initial.Number.Escaped","Initial.Escape.Reason","Final.Date.of.Escape","Final.Number.Escaped","Final.Number.Recovered","Final.Escape.Reason","Marine.Scotland.Site.ID","Date.Registered","National.Grid.Reference","Local.Authority","Producing.in.Last.3.Years","Site.Address.1","Site.Address.2","Site.Address.3","Site.Post.Code","Site.Contact.Number","Aquaculture.Type","Water.Type","Health.Surveillance","Easting","Northing","MS.Management.Area","Region","Operator","Species","year","month","c2","c3","c4","c5","c6","c7"
"ardintoul",2000047,"marine harvest (scotland) ltd","s","15-Jul-06","unknown",NA,"ng824244","atlantic salmon","grower fish (salmon only)",15,4,"19-Jul-06","10,000","unknown - unk","21-Aug-06",1950,0,"hole in net","fs0245","22-Oct-85","ng824244","highland","yes","letterfearn","glenshiel","kyle, ross-shire","iv40 8ht","01599 534554","fish","seawater","medium",182400,824400,"14a - carron, kishorn, alsh, duich","highland","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"ardmaddy",2000198,"lighthouse caledonia ltd","s","11-Jul-08",NA,"11-Jul-08","nm777146","atlantic salmon","grower fish (salmon only)",30,4.5,"25-Jul-08","5500","hole in net - hol","28-Jul-08",5500,0,"hole in net","fs0464","1-Sep-85","nm774136","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","medium",177400,713600,"16d - seil sound to loch craignish","strathclyde","mowi scotland ltd","lumpsucker, atlantic salmon, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"ardmaddy",2000034,"pan fish scotland ltd","s","5-Apr-06","09:00",NA,NA,"atlantic salmon","grower fish (salmon only)",19,4.8,"5-Apr-06","unknown","hole in net - hol","2-May-06",5500,0,"unknown","fs0464","1-Sep-85","nm774136","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","medium",177400,713600,"16d - seil sound to loch craignish","strathclyde","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"ardmaddy",2000435,"marine harvest (scotland) ltd","s","15-Sep-15","12:00","15-Sep-15","nm774136","atlantic salmon","grower fish (salmon only)",14.636690647482,2,"15-Sep-15","1","human error - hum","15-Sep-15",1,0,"human error","fs0464","1-Sep-85","nm774136","argyll and bute","no","n/a",NA,NA,NA,NA,"fish","seawater","medium",177400,713600,"16d - seil sound to loch craignish","strathclyde","mowi scotland ltd","atlantic salmon, wrasse, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"ardmair",2000125,"wester ross fisheries ltd","s","27-Oct-06","10:00",NA,"nh103995","atlantic salmon","grower fish (salmon only)",9,0.1,"30-Oct-06","handful","human error - hum","13-Nov-06",10,0,"human error","fs0056","20-Apr-79","nh103995","highland","yes","ardmair","ullapool","ross-shire","iv26 2tn","01854 612121","fish","seawater","low",210300,899500,"10b - loch broom","highland","wester ross fisheries ltd","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ardnish",2000253,"marine harvest (scotland) ltd","s","12-Oct-09",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",20,1,"12-Oct-09","7","human error - hum","4-Nov-09",7,0,"human error","fs0249","12-Sep-79","nm755815","highland","yes","lochailort","inverness-shire","n/a","ph38 4lz","01687 470220","fish","seawater","low",175500,781500,"15c - ailort","highland","mowi scotland ltd","wrasse, lumpsucker, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ardyne",2000376,"murray seafood ltd.","s","8-Sep-98",NA,NA,NA,"atlantic salmon","grower fish (salmon only)",14.636690647482,3.1,NA,"10000","human error - hum",NA,10000,0,"human error","fs0559","16-Oct-85","ns094693","argyll and bute","yes","toward","dunoon","argyll","pa23 7uj","01546 602172","fish","seawater","medium",209400,669300,"19b - kyles of bute","strathclyde","the scottish salmon company","lumpsucker, wrasse, atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
"ardyne",2000129,"murray seafoods ltd","s","28-Jul-06",NA,NA,"ns094693","atlantic salmon","grower fish (salmon only)",15,3.4,"3-Nov-06","suspected","human error - hum","1-Dec-06",0,0,"human error","fs0559","16-Oct-85","ns094693","argyll and bute","yes","toward","dunoon","argyll","pa23 7uj","01546 602172","fish","seawater","medium",209400,669300,"19b - kyles of bute","strathclyde","the scottish salmon company","wrasse, atlantic salmon, lumpsucker",NA,NA,NA,NA,NA,NA,NA,NA
"ardyne",2000072,"murray seafoods ltd","s","24-Jan-05","12:00",NA,"ns094693","atlantic salmon","grower fish (salmon only)",2,15,"4-Feb-05","unknown","hole in net - hol","9-Feb-05",0,5,"hole in net","fs0559","16-Oct-85","ns094693","argyll and bute","yes","toward","dunoon","argyll","pa23 7uj","01546 602172","fish","seawater","medium",209400,669300,"19b - kyles of bute","strathclyde","the scottish salmon company","atlantic salmon, lumpsucker, wrasse",NA,NA,NA,NA,NA,NA,NA,NA
"aultbea",2000108,"marine harvest (scotland) ltd","s","20-Mar-03","16:00",NA,"ng868863","atlantic salmon","grower fish (salmon only)",13,2.1,"20-Mar-03","11,496","hole in net - hol","22-Apr-03",11,0,"hole in net","fs0729","1-Nov-91","ng868863","highland","no","n/a",NA,NA,NA,NA,"fish","seawater",NA,186800,886300,NA,"highland","mowi scotland ltd","atlantic salmon",NA,NA,NA,NA,NA,NA,NA,NA
